"Brainbank ID","Location Freezer","Location","Box","Column","Row","Region",""
"12393","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"12482","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"12490","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","B","Forebrain",""
"13103","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Frontal Lobe Slice 2",""
"13316","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","B","Forebrain",""
"13357","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","B","Forebrain",""
"13359","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","C","Forebrain",""
"13360","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","B","Forebrain",""
"13415","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"13416","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","B","Forebrain",""
"13423","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","B","Forebrain",""
"13426","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"13454","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"13512","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"13513","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"13526","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","9","B","Forebrain",""
"13738","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"13781","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","10","B","Frontal Lobe Left",""
"13885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","C","Frontal Lobe Right Ventral",""
"13886","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","d","Forebrain",""
"13907","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","C","Forebrain",""
"13908","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex fragment",""
"13910","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","C","Forebrain",""
"13927","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Frontal Lobe Left",""
"14159","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","C","Frontal Lobe Left",""
"14160","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","C","Frontal Lobe Right",""
"14160","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","D","Frontal Lobe Right",""
"14205","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","D","Frontal Lobe Right",""
"14211","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","9","C","Frontal Lobe Left",""
"14252","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Frontal Lobe Left",""
"14253","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","10","C","Frontal Lobe Right",""
"14284","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","D","Frontal Lobe Right",""
"14285","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","D","Frontal Lobe Left",""
"12018","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
